width,module,t,l1,optimizer,lr
64,trf_blocks.5.att.w_key,3,0.4667571187019348,adamw,0.001
64,trf_blocks.5.att.w_query,3,0.4575388729572296,adamw,0.001
64,trf_blocks.5.att.w_value,3,0.4573292136192322,adamw,0.001
64,trf_blocks.5.att.rope,3,0.4574504792690277,adamw,0.001
64,trf_blocks.5.att.rope,3,0.466427743434906,adamw,0.001
64,trf_blocks.5.att.dropout,3,0.003907602280378342,adamw,0.001
64,trf_blocks.5.att.out_proj,3,0.08612827211618423,adamw,0.001
64,trf_blocks.5.att,3,0.08612827211618423,adamw,0.001
64,trf_blocks.5.drop_resid,3,0.08602838218212128,adamw,0.001
64,trf_blocks.5.norm2,3,0.7804003357887268,adamw,0.001
64,trf_blocks.5.ff.w1,3,0.46540358662605286,adamw,0.001
64,trf_blocks.5.ff.w3,3,0.46897733211517334,adamw,0.001
64,trf_blocks.5.ff.w2,3,0.08917729556560516,adamw,0.001
64,trf_blocks.5.ff,3,0.08917729556560516,adamw,0.001
64,trf_blocks.5.drop_resid,3,0.08918590098619461,adamw,0.001
64,trf_blocks.5,3,1.1933616399765015,adamw,0.001
64,trf_blocks,3,1.1933616399765015,adamw,0.001
64,final_norm,3,0.7792653441429138,adamw,0.001
64,out_head,3,0.45602795481681824,adamw,0.001
64,,3,0.45602795481681824,adamw,0.001
64,tok_emb,1,0.7963931560516357,adamw,0.001
64,pos_emb,1,0.798576831817627,adamw,0.001
64,drop_emb,1,1.1300756931304932,adamw,0.001
64,trf_blocks.0.norm1,1,0.7691899538040161,adamw,0.001
64,trf_blocks.0.att.w_key,1,0.4664880335330963,adamw,0.001
64,trf_blocks.0.att.w_query,1,0.46352189779281616,adamw,0.001
64,trf_blocks.0.att.w_value,1,0.4633776843547821,adamw,0.001
64,trf_blocks.0.att.rope,1,0.463337242603302,adamw,0.001
64,trf_blocks.0.att.rope,1,0.46594226360321045,adamw,0.001
64,trf_blocks.0.att.dropout,1,0.003904985496774316,adamw,0.001
64,trf_blocks.0.att.out_proj,1,0.08065420389175415,adamw,0.001
64,trf_blocks.0.att,1,0.08065420389175415,adamw,0.001
64,trf_blocks.0.drop_resid,1,0.080511175096035,adamw,0.001
64,trf_blocks.0.norm2,1,0.770530641078949,adamw,0.001
64,trf_blocks.0.ff.w1,1,0.4661509394645691,adamw,0.001
64,trf_blocks.0.ff.w3,1,0.46521103382110596,adamw,0.001
64,trf_blocks.0.ff.w2,1,0.08861899375915527,adamw,0.001
64,trf_blocks.0.ff,1,0.08861899375915527,adamw,0.001
64,trf_blocks.0.drop_resid,1,0.08870577812194824,adamw,0.001
64,trf_blocks.0,1,1.1477644443511963,adamw,0.001
64,trf_blocks.1.norm1,1,0.7717633247375488,adamw,0.001
64,trf_blocks.1.att.w_key,1,0.46748989820480347,adamw,0.001
64,trf_blocks.1.att.w_query,1,0.45873239636421204,adamw,0.001
64,trf_blocks.1.att.w_value,1,0.46193206310272217,adamw,0.001
64,trf_blocks.1.att.rope,1,0.4588524401187897,adamw,0.001
64,trf_blocks.1.att.rope,1,0.4671284854412079,adamw,0.001
64,trf_blocks.1.att.dropout,1,0.0039048618637025356,adamw,0.001
64,trf_blocks.1.att.out_proj,1,0.07501509040594101,adamw,0.001
64,trf_blocks.1.att,1,0.07501509040594101,adamw,0.001
64,trf_blocks.1.drop_resid,1,0.07510611414909363,adamw,0.001
64,trf_blocks.1.norm2,1,0.7724342346191406,adamw,0.001
64,trf_blocks.1.ff.w1,1,0.46344661712646484,adamw,0.001
64,trf_blocks.1.ff.w3,1,0.46529319882392883,adamw,0.001
64,trf_blocks.1.ff.w2,1,0.08758775144815445,adamw,0.001
64,trf_blocks.1.ff,1,0.08758775144815445,adamw,0.001
64,trf_blocks.1.drop_resid,1,0.08751128613948822,adamw,0.001
64,trf_blocks.1,1,1.1575567722320557,adamw,0.001
64,trf_blocks.2.norm1,1,0.773600161075592,adamw,0.001
64,trf_blocks.2.att.w_key,1,0.46153223514556885,adamw,0.001
64,trf_blocks.2.att.w_query,1,0.45729365944862366,adamw,0.001
64,trf_blocks.2.att.w_value,1,0.46175628900527954,adamw,0.001
64,trf_blocks.2.att.rope,1,0.4576171934604645,adamw,0.001
64,trf_blocks.2.att.rope,1,0.4612916111946106,adamw,0.001
64,trf_blocks.2.att.dropout,1,0.003907289355993271,adamw,0.001
64,trf_blocks.2.att.out_proj,1,0.07468273490667343,adamw,0.001
64,trf_blocks.2.att,1,0.07468273490667343,adamw,0.001
64,trf_blocks.2.drop_resid,1,0.07475685328245163,adamw,0.001
64,trf_blocks.2.norm2,1,0.7744425535202026,adamw,0.001
64,trf_blocks.2.ff.w1,1,0.46769607067108154,adamw,0.001
64,trf_blocks.2.ff.w3,1,0.46491047739982605,adamw,0.001
64,trf_blocks.2.ff.w2,1,0.0911758691072464,adamw,0.001
64,trf_blocks.2.ff,1,0.0911758691072464,adamw,0.001
64,trf_blocks.2.drop_resid,1,0.0912221148610115,adamw,0.001
64,trf_blocks.2,1,1.168166995048523,adamw,0.001
64,trf_blocks.3.norm1,1,0.7754292488098145,adamw,0.001
64,trf_blocks.3.att.w_key,1,0.4657549560070038,adamw,0.001
64,trf_blocks.3.att.w_query,1,0.4619523882865906,adamw,0.001
64,trf_blocks.3.att.w_value,1,0.45963120460510254,adamw,0.001
64,trf_blocks.3.att.rope,1,0.46188750863075256,adamw,0.001
64,trf_blocks.3.att.rope,1,0.465542733669281,adamw,0.001
64,trf_blocks.3.att.dropout,1,0.003907048609107733,adamw,0.001
64,trf_blocks.3.att.out_proj,1,0.08465632796287537,adamw,0.001
64,trf_blocks.3.att,1,0.08465632796287537,adamw,0.001
64,trf_blocks.3.drop_resid,1,0.0845746099948883,adamw,0.001
64,trf_blocks.3.norm2,1,0.7765649557113647,adamw,0.001
64,trf_blocks.3.ff.w1,1,0.46513718366622925,adamw,0.001
64,trf_blocks.3.ff.w3,1,0.46496933698654175,adamw,0.001
64,trf_blocks.3.ff.w2,1,0.08948778361082077,adamw,0.001
64,trf_blocks.3.ff,1,0.08948778361082077,adamw,0.001
64,trf_blocks.3.drop_resid,1,0.08948832005262375,adamw,0.001
64,trf_blocks.3,1,1.1786073446273804,adamw,0.001
64,trf_blocks.4.norm1,1,0.777193009853363,adamw,0.001
64,trf_blocks.4.att.w_key,1,0.46643853187561035,adamw,0.001
64,trf_blocks.4.att.w_query,1,0.4572007954120636,adamw,0.001
64,trf_blocks.4.att.w_value,1,0.4614763855934143,adamw,0.001
64,trf_blocks.4.att.rope,1,0.4567948579788208,adamw,0.001
64,trf_blocks.4.att.rope,1,0.46661195158958435,adamw,0.001
64,trf_blocks.4.att.dropout,1,0.0039056013338267803,adamw,0.001
